like,for,com,sum,date,content
96,3,71,170,2020-04-09,#喜茶西安新店#  长安有新喜，来饮杯茶吧。高级灰与莫兰迪色系，舒适色块打造松弛视感。【西安李家村苏宁GO店】，今日正式开业。4/10-4/14，喜茶GO微信小程序任意消费，可获赠5元代金券一张（每人每天限领1张）~  地址：碑林区解放路186号W6694号商铺
5014,42,704,5760,2020-04-09,#喜茶GO#   支付宝也可以点喜茶啦！扫码或在支付宝搜索“喜茶”，即可进入喜茶GO小程序。今天的灵感，有一点点蓝💙
12543,62,1595,14200,2020-04-08,薅羊毛时间又到了！🧧4月6日-5月5日，使用银联云闪付二维码到店支付，可享满30-10元，约等于单杯7折！每人每日可享1次优惠，每日限额3300名（喜茶GO店不参与）。📝大家可在云闪付APP搜索「喜茶」查看剩余名额，借记卡和信用卡都参与喔~
180,10,126,316,2020-04-08,#喜茶杭州新店#  大面积使用肌理漆打造质感，透明砖墙与原石自然质感相互衬托。【杭州大悦城店】现已开业。4/6-4/10，喜茶GO微信小程序任意消费，可获赠5元代金券一张（每人每天限领1张）。 📍地址：莫干山路与隐秀路交汇处大悦城购物中心【L1-34】号商铺
190,5,111,306,2020-04-08,#喜茶东莞新店#  东莞再添一喜。转角处全景落地窗，饮茶最佳景致就在这里~【东莞长安万科店】现已开业。4/5-4/9，喜茶GO微信小程序任意消费，可获赠5元代金券一张（每人每天限领1张）。 📍地址：长安镇长安长青南路1号7栋一层1045室1室
143,13,76,232,2020-04-08,#喜茶上海新店#  新空间，新体验。来新店饮杯豆豆茶吧~ 【上海宝杨宝龙茶空间店】现已开业。4/5-4/9，喜茶GO微信小程序任意消费，可获赠5元代金券一张（每人每天限领1张）。 📍地址：同济路669弄4号第1层
467,94,126,687,2020-04-07,#在家做喜茶#  👩🏻🍳今晚要送我们 #黑糖波波双皮奶#  出道！只要一只锅就可拥有，比 #黑糖啵啵舒芙蕾#  更简单~各位巧巧手请码好！ 📝两只鸡蛋分离出蛋清搅打至无明显块状拉丝，倒入258ml纯牛奶中，再加入白砂糖搅拌均匀，包上保鲜膜扎小孔，水开后隔水蒸15分钟后取出，铺上满满黑糖波波！完成啦...
192,2,137,331,2020-04-07,#灵感体验官#  我们在意你投递的每一份灵感✨ 灵感信箱在持续收件中，本月初公布被采纳的体验官们应该都收到茶茶的礼物了吧~只要向茶茶投递你的灵感，即有机会获得图中的福利喔！扫图中的码，马上开始投递吧
432,5,240,677,2020-04-07,叮！茶茶的 #灵感月报#  回归啦~ 每月新品新店活动一图尽览，再也不错过一条重要消息！2020年3月份月报请查收  评论里说说四月你最期待茶茶什么活动or新品呢？
216,7,84,307,2020-04-07,#黑糖波波酸奶#  点亮希腊式酸奶的关键：谷物包🍓 酸奶本身不含糖分，极致健康，搭配黑糖燕麦片和草莓颗粒的谷物包，倒进酸奶里搅匀，谷物脆香与草莓酸甜瞬间点亮灵感💡喜茶牌希腊式酸奶现正有售，打开 #喜茶GO#  找找离你最近的酸奶吧~
271,18,101,390,2020-04-06,#喜茶设计#   他，轻奏着Debussy的旋律；她，缓缓步进灵感咖啡厅。窈窕倩影萦绕着曼妙云呢拿香，一场迷离的暧昧在灯明灯暗中上演。以 #喜茶咖啡# 作为索引，在王家卫式镜头语言下，一辑辑胶片质感影画及大量的留白，营造了一个氤氲朦胧的场景。男女主角的故事在咖啡香中展开，无声胜有声。
1170,210,323,1703,2020-04-06,⛳️ 茶茶也上岛啦！ #动物森友会#  灵感之茶小岛建成~小小喜茶门店开业咯！喜茶美术馆里陈列多肉葡萄、芝芝金凤茶王和豆豆波波茶，路过的朋友进来喝一杯鸭 🙋🏻♀️有动森选手吗？快来评论晒晒你的岛~
113,0,0,113,2020-04-05,#喜茶百货公司#  “今日你食咗未？” 这是来自广州人的日常关怀。🍵一齐嚟“饮啖茶，食个包”，在广州，叹世界。喜茶广州天环LAB限定「饮啖茶，食个包」主题周边，现已正式登陆广州天环LAB店，老广必得。🙌🏻欢迎前往门店或在喜茶GO先行选购，支持线上下单门店自提喔~  #喜茶设计#
1064,15,240,1319,2020-04-05,#喜茶设计#  上周喜茶武汉门店逐渐开始复业，大家的多肉葡萄奶茶波波冰又回来了👩🏻🎨本期献上4款 #喜爱武汉#  灵感杯套大家随意发挥，尤其是武汉的朋友欢迎多多参与喔！熟悉的黄鹤楼、樱花、热干面，希望可以在大家笔下重回鲜活~ 🙆🏻♀️评论区po出你的作品，24小时后点赞前三位送喜茶...
253,24,39,316,2020-04-04,人民日报  的微博: #清明祭#  【今天发条微博，为那些没能来得及的告别】今日，全国哀悼。此刻，一起缅怀，为逝去的同胞！ #哀悼抗击新冠疫情牺牲烈士和逝世同胞#
594,1996,658,3248,2020-04-03,#灵感魔都#  这套全新周边带你梦回上海1920！极致复古风趣，灵感小男巫再次登场，带来充满魔法的灵感小物~ 喜茶第二款AirpodsCase出生，各位朋友速速配置，本期还带来超好玩立体冰箱贴，靓丽可爱！现已上架 #喜茶百货公司#  ，现在立刻挑选，早买早收货。🧙🏻♂️转发，抽5位送全套灵感魔都冰箱贴+...
1168,2993,1175,5336,2020-04-03,#喜茶咖啡#  上新日有喜事，今日【喜茶咖啡全系列买一送一】，想要尝新切莫错过，数量有限送完即止。☕全新 #雪山咖啡#  ，颠覆传统咖啡饮用体验，一口一口根本停不下来！ 转发，揪10位大咖平分10杯~   抽奖详情
444,72,155,671,2020-04-03,#喜茶咖啡#  灵感咖啡厅今日有新咖：奶油与咖啡的绝美组合，一杯咖啡就是一道甜点！🧁「雪山香草拿铁」，香草味云朵奶油洒上碧根果碎，与顺滑香草拿铁入口生香；「雪山摩卡」」特调可可奶底浓醇丝滑，鲜奶油与可可粉生成多巴胺。☕两款新咖现已上线喜茶大陆门店。 #雪山咖啡#
408,15,166,589,2020-04-02,#喜茶咖啡#  全新剧集，相约明日黄金档。
239,18,190,447,2020-04-02,#喜茶东莞新店#  虎门有新喜，来饮杯多肉葡萄呀？【东莞虎门万达店】现已开业。4/1-4/5，喜茶GO微信小程序任意消费，可获赠5元代金券一张（每人每天限领1张）。📍地址：东莞市虎门镇万达广场一楼1F层1056号商铺
4181,1792,677,6650,2020-04-01,#愚你有喜#   赶在愚人节的尾巴来了~愚人节特别版阿喜有礼卡限时上架！【午夜惊喜】、【秃发事件】、【愚你有喜】、【HAPPY FOOL'S DAY】四款卡面，你喜欢“贞子阿喜”还是“秃然的阿喜”？扫1扫进入喜茶GO即可选购~ 🎁关+转，揪3位送100元阿喜有礼卡！ #阿喜有礼#    抽奖详情
195,18,79,292,2020-04-01,#武汉的多肉葡萄醒了#  新的4月新的喜事：武汉销品茂店、武汉天地热麦店、武汉永旺梦乐城店今日已恢复营业~营业时间见图，复业首周喜茶GO外卖&美团外卖免配送费❤
359,10,120,489,2020-04-01,#愚你有喜#  愚人节的惊喜，茶茶送给你。听说这两天在上海静安嘉里中心店、深圳卓越中心店、成都IFS黑金店和长沙悦方ID MALL店，诞生了许多「愚人节锦鲤」？Surprise！别不相信，天上真的会掉喜茶噢~  #送喜上门#
1095,4503,1684,7282,2020-04-01,#愚人节#  喜茶愚人节盲盒限时上线，仅限今日抽取！🎁转发这条微博，下午5点将抽取10位朋友随机获得【啥也不是波波冰】、【芝芝空气】、【满杯快乐】、【多肉喜欢有你】4款愚人节盲盒茶饮中的一款，茶饮将以神秘赠饮券形式发放，想知道盲盒分别对应什么茶饮吗？就不告诉你🤪  #愚你有喜# ...
442,31,164,637,2020-03-31,#黑糖波波酸奶#  还没试过黑糖波波酸奶吗？喜茶现正有售！选用热量更低的脆波波，一点黑糖香甜跃然舌尖，希腊式酸奶本身不含糖分，健康轻食首选~  还有黑糖燕麦和冻干水果，搅匀再吃口味更佳   今日下午茶不如就选它吧！打开 #喜茶GO#  ，马上Get!
321,18,162,501,2020-03-31,#喜茶上海新店#  上海喜提新店！工作日来杯多肉葡萄续航，灵感自然来~ 【上海长风大悦城GO店】已开业。3/31-4/4，喜茶GO微信小程序任意消费可获取5元代金券1张（每人每天限领1张）。📍地址：长风大悦城中心内大渡河路196号1层
389,20,210,619,2020-03-29,#喜茶绍兴新店#  绍兴的小可爱们！喜茶新店来啦🥳 【绍兴柯桥万达店】今日开业，新店 #喜茶GO#  就可以直接点单！3/29-4/2，喜茶GO任意消费可获取5元代金券1张（每人每天限领1张）。📍地址：柯桥钱陶路799号绍兴柯桥万达广场1F层 1100-A，1100-B，1101A号商铺
526,879,610,2015,2020-03-28,#绿色喜茶#   今天20:30-21:30  ，喜茶部分门店将关闭不影响门店正常营运的光源来支持 #地球一小时#  的倡议。关灯门店仍正常营业。茶茶也提议今天在家的朋友，断开身边不必要的电源，让地球休息一小时~💡转发并分享你的低碳生活行为，抽3位送茶！   抽奖详情
365,35,117,517,2020-03-28,#喜爱武汉#   63天，1512个小时，于严冬中蛰伏已久，武汉汉街LAB店&K11 Select店现已正式恢复营业！ #武汉的多肉葡萄醒了#  ❤出于安全考虑，目前仅接受外卖单哦，3/31-4/6，两店喜茶GO外卖和美团外卖免配送费！好久不见，你最想念哪杯喜茶呢？
778,25,303,1106,2020-03-27,#喜茶汕头首店#  今日是汕头有喜的第一天🙌🏻听说热情的汕头朋友把两家店都喝爆单啦！两家门店皆打造了较为开放自由的饮茶空间，大家快乐吸茶的同时别忘了感受独特的 #喜茶设计#   噢🥳 非常感谢胶己人的照顾，以后的日子大家互相陪伴啦~
3854,14437,5409,23700,2020-03-27,#奶茶自由#  你一次能喝多少杯奶茶？不管能喝多少，都没有茶茶这一次送的多！茶茶今天要和 @WonderLab  一起带大家实现奶茶自由！🎈这条微博每转发1000次，就送出一盒喜茶xWonderLab联名小胖瓶（6瓶）！24小时后准时开奖，健康灵感不封顶！ #WonderLab小胖瓶#    抽奖详情
331,27,78,436,2020-03-27,#喜茶设计#  叮！壁纸换新时间到~ 本期壁纸融入喜茶线条灵感与中国风元素，打造喜茶新式中国风，风从东方起，灵感入画来。 #中国风格，喜茶设计#   照例评论里收“买家秀”啦
861,286,364,1511,2020-03-27,#奶茶自由#  奶茶一杯喝到饱？机会来了！🙌🏻喜茶 x  #WonderLab小胖瓶#  联名代餐奶昔，融入喜茶人气茶饮味觉体验，健康灵感出击。芝芝莓莓、黑糖波波、暖暖奶茶口味奶昔，外加联名定制贴纸和惊喜刮刮卡，全套收入【无尽灵感】盒子！👀茶茶和 @WonderLab  给你奶茶自由！
437,54,236,727,2020-03-26,#喜茶汕头首店#  久等了！汕头小伙伴来呷茶啦~明日（3/27）汕头双喜临门：【汕头星湖城店】&【汕头大悦海纳天地店】齐齐开业！🥰3/27-3/31，新店喜茶GO任意消费可获取5元代金券1张（每人每天限领1张）。📍门店地址戳图，明日就可直接 #喜茶GO#  下单点茶啦！
154,5,61,220,2020-03-26,#保持距离工作不停#  疫情还没完全结束，我们仍未松懈。喜茶积极响应 @世界卫生组织  号召，施行三大措施，保护茶茶们远离2019冠状病毒病。为复工筑起健康，喜茶在行动
256,4,162,422,2020-03-25,#灵感体验官#  茶茶Q&A第四期如约而至。本期精选了4个问题给出茶茶的答案，希望有帮到提问的朋友哟~  灵感体验官入口持续开放，戳评论即可进入，完全开放平台，大家随心所欲鸭！
299,6,91,396,2020-03-24,近日，深圳欢乐海岸LAB店喜迎深圳市南山区区长前来打卡~随着生活慢慢踏上正轨，深圳喜茶门店目前几乎全数复业，在确保门店防疫工作严格执行的情况下，为大家提供一杯安心喜茶。也希望大家都能平平安安复工，安安心心喝茶
206,5,49,260,2020-03-24,#茶茶与你#  春暖花开的时节，我们终于等到了你们归来，诚挚地对深圳援鄂医疗队的抗疫英雄们，说一声“辛苦了！”  你们想念的深圳味道，茶茶立马安排上，用“满杯欢喜”迎接你们回家~
481,22,260,763,2020-03-23,#喜茶佛山新店#  好久不见，今日有新喜落佛山~ 【佛山创意产业园店】今日正式开业！3/23-3/27，喜茶GO任意消费可得5元代金券1张。📍地址：佛山创意产业园-佛山市禅城区季华四路 33 号 1 栋
649,84,364,1097,2020-03-23,#喜茶食验室#  黑糖波波酸奶，你试过吗？🥛全新喜茶牌希腊式酸奶，黑糖味脆波波与希腊式酸奶的新奇碰撞，万物皆可波波！拥有高于普通酸奶2倍的蛋白质，脂肪含量是普通酸奶的1/4不到，还有蓝莓口味可选，搭配冻干水果燕麦谷物，口感棒棒~🛒 #喜茶GO#  半价尝鲜，仅限今日🙆🏻♀️
4612,67,816,5495,2020-03-22,#喜茶设计#  之前举办的 #画喜茶大赛#  大家玩的很开心，新一期来啦！🌉以下8款喜茶设计经典线条插画风格杯杯，请大家选择自己所在/喜爱的城市随意填涂 📝在评论区晒出你的填色作品，24小时后，点赞排名前三位将获得随机喜茶城市系列周边~
16636,394,1255,18285,2020-03-22,茶茶也真没想到，竟然因一个抽奖而上了热搜。恭喜这位可爱的中奖用户 @等一杯茶颜悦色 ，你的奖品茶茶会快马加鞭安排，请留意查收哦，也祝你真的能「等到一杯茶颜悦色」。 最后茶茶也有几句话想说，现在流行「奶茶自由」这个词，其实消费者选择自己想喝的品牌也是一种「奶茶自由」。喜茶是一个服务于所有...
